Date,BCOMHG,BCOMNI,BCOMCL
2024-08-28,4.1725,16882.53,73.44
2024-08-29,4.1985,16924.28,74.67
2024-08-30,4.189,16641.53,72.65
2024-09-02,4.1837,16573.03,73.78
2024-09-03,4.0715,16389.78,69.59
2024-09-04,4.058,16082.28,68.52
2024-09-05,4.1155,16042.1,68.5
2024-09-06,4.0525,15740.3,66.98
2024-09-11,4.12,16064.0,66.6
2024-09-12,4.172,16027.0,68.15
2024-09-13,4.213,15887.0,67.75
2024-09-16,4.2505,16287.0,69.02
2024-09-17,4.2495,16098.0,69.96
2024-09-18,4.273,16188.0,69.88
2024-09-19,4.321,16295.0,71.16
2024-09-20,4.316,16426.0,71.0
2024-09-23,4.3195,16507.0,69.61
2024-09-24,4.462,16695.0,70.84
2024-09-25,4.4605,16752.0,69.13
2024-09-26,4.61,16763.0,67.19
2024-09-27,4.5995,16984.0,67.67
2024-09-30,4.553,17475.0,67.77
2024-10-01,4.589,17655.0,69.39
2024-10-02,4.649,18187.0,69.69
2024-10-03,4.553,17797.0,73.17
2024-10-04,4.574,17850.0,73.68
2024-10-07,4.5665,17933.0,76.47
2024-10-08,4.4565,17715.0,72.98
2024-10-09,4.3995,17452.0,72.59
2024-10-10,4.4275,17513.0,75.11
2024-10-11,4.4935,17862.0,74.85
2024-10-14,4.406,17644.0,73.24
2024-10-15,4.3375,17409.0,70.01
2024-10-16,4.3675,17332.0,69.82
2024-10-17,4.325,17011.0,70.09
2024-10-18,4.3845,16931.0,68.69
2024-10-21,4.3595,16628.0,70.04
2024-10-22,4.3805,16464.0,71.74
2024-10-23,4.3365,16232.0,70.37
2024-10-24,4.3515,16260.0,69.84
2024-10-25,4.3705,16104.0,71.35
2024-10-28,4.3625,15974.0,66.98
2024-10-29,4.3605,15865.0,66.81
2024-10-30,4.36,15780.0,68.18
2024-10-31,4.3515,15700.0,68.81
2024-11-01,4.382,15940.0,69.08
2024-11-04,4.4375,16077.0,71.03
2024-11-05,4.481,16125.0,71.56
2024-11-06,4.2595,16172.0,71.24
2024-11-07,4.44,16593.0,71.96
2024-11-08,4.3185,16287.0,70.11
2024-11-11,4.243,16055.0,67.92
2024-11-12,4.154,15945.0,67.97
2024-11-13,4.102,15727.0,68.26
2024-11-14,4.105,15688.0,68.53
2024-11-15,4.076,15463.0,66.92
2024-11-18,4.1335,15694.0,69.17
2024-11-19,4.153,15770.0,69.24
2024-11-20,4.164,15831.0,68.75
2024-11-21,4.138,15661.0,69.77
2024-11-22,4.102,15827.0,70.77
2024-11-25,4.1215,16185.0,68.58
2024-11-26,4.075,15956.0,68.44
2024-11-27,4.117,15881.0,68.35
2024-11-29,4.1225,15958.0,67.72
2024-12-02,4.1135,15719.0,67.84
2024-12-03,4.1845,16035.0,69.54
